,Yr,Lg,Series,Unnamed: 3_level_1,Team,W,Team,W,url
32,1992,NBA,Finals,"Jun 3 - Jun 14, 1992",Chicago Bulls (1),4,Portland Trail Blazers (1),2,https://www.basketball-reference.com/playoffs/1992-nba-finals-trail-blazers-vs-bulls.html
33,1991,NBA,Finals,"Jun 2 - Jun 12, 1991",Chicago Bulls (1),4,Los Angeles Lakers (3),1,https://www.basketball-reference.com/playoffs/1991-nba-finals-lakers-vs-bulls.html
34,1990,NBA,Finals,"Jun 5 - Jun 14, 1990",Detroit Pistons (1),4,Portland Trail Blazers (3),1,https://www.basketball-reference.com/playoffs/1990-nba-finals-trail-blazers-vs-pistons.html
35,1989,NBA,Finals,"Jun 6 - Jun 13, 1989",Detroit Pistons (1),4,Los Angeles Lakers (1),0,https://www.basketball-reference.com/playoffs/1989-nba-finals-lakers-vs-pistons.html
36,1988,NBA,Finals,"Jun 7 - Jun 21, 1988",Los Angeles Lakers (1),4,Detroit Pistons (2),3,https://www.basketball-reference.com/playoffs/1988-nba-finals-pistons-vs-lakers.html
37,1987,NBA,Finals,"Jun 2 - Jun 14, 1987",Los Angeles Lakers (1),4,Boston Celtics (1),2,https://www.basketball-reference.com/playoffs/1987-nba-finals-celtics-vs-lakers.html
38,1986,NBA,Finals,"May 26 - Jun 8, 1986",Boston Celtics (1),4,Houston Rockets (2),2,https://www.basketball-reference.com/playoffs/1986-nba-finals-rockets-vs-celtics.html
39,1985,NBA,Finals,"May 27 - Jun 9, 1985",Los Angeles Lakers (1),4,Boston Celtics (1),2,https://www.basketball-reference.com/playoffs/1985-nba-finals-lakers-vs-celtics.html
40,1984,NBA,Finals,"May 27 - Jun 12, 1984",Boston Celtics (1),4,Los Angeles Lakers (1),3,https://www.basketball-reference.com/playoffs/1984-nba-finals-lakers-vs-celtics.html
41,1983,NBA,Finals,"May 22 - May 31, 1983",Philadelphia 76ers (1),4,Los Angeles Lakers (1),0,https://www.basketball-reference.com/playoffs/1983-nba-finals-lakers-vs-76ers.html
