,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
437,Cazzie Russell,25,False,1,6,6,1,6,1,1,6,7,1,1,1,2,6,2,1,1
438,Dave Stallworth,28,False,1,7,7,1,6,1,1,4,6,1,1,1,1,7,6,1,1
439,Mike Riordan,24,False,1,8,8,1,8,1,1,8,7,1,1,1,2,8,8,1,4
440,John Havlicek,28,False,1,1,1,1,1,1,1,2,2,1,1,1,4,1,3,1,4
441,Sam Jones,35,False,1,4,2,1,3,1,1,6,5,1,1,1,2,2,1,1,5
442,Larry Siegfried,29,False,1,6,3,1,2,1,1,7,3,1,1,1,7,3,7,1,2
443,Don Nelson,28,False,1,7,4,1,3,1,1,3,6,1,1,1,3,4,4,1,6
444,Em Bryant,30,False,1,3,5,1,5,1,1,5,4,1,1,1,5,5,5,1,3
445,Bailey Howell,32,False,1,5,5,1,7,1,1,4,7,1,1,1,8,6,8,1,7
446,Bill Russell,34,False,1,1,7,1,6,1,1,1,1,1,1,1,6,7,6,1,8
447,Tom Sanders,30,False,8,8,8,1,8,1,1,8,8,1,1,1,1,8,2,1,1
