,Year,Player,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
62,2017,David West,False,1,7,7,7,8,6,6,6,7,8,3,2,2,7,1,7,7
63,2017,Ian Clark,False,8,8,8,6,6,8,7,8,7,6,6,2,1,8,6,6,1
64,2016,LeBron James,True,1,1,1,3,1,2,1,1,1,1,1,8,4,1,3,2,4
65,2016,Kyrie Irving,False,1,2,2,2,1,4,5,5,2,2,3,7,6,2,4,1,2
66,2016,J.R. Smith,False,1,3,4,1,6,7,6,6,3,3,4,3,8,3,5,3,6
67,2016,Tristan Thompson,False,1,4,3,8,3,1,2,2,6,6,2,1,7,4,1,8,8
68,2016,Kevin Love,False,7,6,5,4,4,4,3,3,4,5,4,6,3,5,6,5,5
69,2016,Richard Jefferson,False,1,5,6,6,5,3,4,4,7,4,7,5,4,6,2,6,7
70,2016,Iman Shumpert,False,1,7,7,5,8,6,7,7,8,7,4,4,2,7,7,4,1
71,2016,Matthew Dellavedova,False,7,8,8,6,7,7,8,8,5,8,8,1,1,8,8,6,3
72,2015,Stephen Curry,False,1,1,1,1,2,5,3,4,1,2,7,8,4,1,5,4,3
73,2015,Andre Iguodala,True,1,3,2,2,4,4,2,2,3,3,5,5,6,2,1,3,8
74,2015,Klay Thompson,False,1,2,3,3,3,7,4,5,5,5,2,4,7,3,6,5,2
75,2015,Draymond Green,False,1,3,4,5,1,2,1,1,2,1,1,7,8,4,7,6,6
76,2015,Harrison Barnes,False,1,5,5,4,6,1,5,2,6,4,3,1,5,5,8,2,4
77,2015,Leandro Barbosa,False,1,7,6,6,8,7,8,8,7,5,7,1,1,6,4,1,1
78,2015,Shaun Livingston,False,1,6,6,7,7,5,6,6,4,7,5,5,3,7,2,7,5
79,2015,Festus Ezeli,False,8,8,8,7,5,3,7,7,8,8,3,1,2,8,3,7,7
80,2014,Tony Parker,False,1,1,1,5,3,7,8,8,2,4,7,6,3,1,7,4,4
81,2014,Kawhi Leonard,True,1,3,2,2,2,3,3,3,4,2,1,5,8,2,2,1,2
82,2014,Tim Duncan,False,1,4,3,7,1,1,1,1,4,7,2,7,5,3,3,7,6
83,2014,Manu GinÃ³bili,False,1,5,4,3,4,7,4,5,3,3,5,7,7,4,6,4,1
84,2014,Patty Mills,False,1,8,5,1,8,6,7,7,7,7,7,1,1,5,4,2,8
85,2014,Danny Green,False,1,6,6,4,7,5,6,6,8,1,4,2,6,6,5,3,4
86,2014,Boris Diaw,False,1,1,7,6,6,2,2,2,1,4,5,4,1,7,8,6,7
87,2014,Tiago Splitter,False,1,7,7,7,5,4,5,4,4,6,3,2,3,7,1,7,3
88,2013,LeBron James,True,1,1,1,2,1,2,1,1,1,1,3,7,1,1,6,5,3
89,2013,Dwyane Wade,False,1,2,2,6,2,3,3,3,2,2,2,6,1,2,4,6,4
90,2013,Chris Bosh,False,1,3,3,6,4,1,2,2,3,2,1,4,8,3,5,6,5
91,2013,Ray Allen,False,1,5,5,2,3,5,6,6,5,7,7,5,6,4,3,2,2
92,2013,Mario Chalmers,False,1,4,4,1,5,8,4,4,3,4,7,7,6,4,8,4,6
93,2013,Shane Battier,False,1,7,7,2,7,5,7,8,6,7,5,1,1,6,7,3,1
94,2013,Mike Miller,False,1,6,6,5,8,5,5,4,6,5,5,2,5,7,2,1,8
95,2013,Chris Andersen,False,8,8,8,6,6,4,7,7,8,5,4,3,4,8,1,6,7
96,2012,LeBron James,True,1,1,1,4,1,1,1,1,1,2,3,8,4,1,3,7,5
97,2012,Dwyane Wade,False,1,2,2,6,2,4,3,3,2,3,1,7,7,2,6,4,6
98,2012,Chris Bosh,False,1,4,3,6,3,1,2,2,7,5,1,4,2,3,4,4,2
99,2012,Shane Battier,False,1,3,4,1,6,5,4,5,4,4,7,2,8,4,1,2,7
100,2012,Mario Chalmers,False,1,4,4,2,4,6,6,6,3,1,3,6,6,5,5,6,3
101,2012,Mike Miller,False,1,7,6,3,4,6,7,7,4,6,6,1,2,6,2,1,1
102,2012,Norris Cole,False,8,7,7,4,8,8,8,8,8,7,7,2,1,7,8,3,8
103,2012,Udonis Haslem,False,1,6,8,8,6,3,5,4,4,7,3,4,5,7,7,8,4
104,2011,Dirk Nowitzki,True,1,1,1,4,1,6,1,1,5,5,3,7,7,1,6,4,1
105,2011,Jason Terry,False,1,5,2,3,2,4,5,6,2,1,6,4,3,2,4,3,3
106,2011,Shawn Marion,False,1,4,3,6,4,2,4,3,4,4,3,6,5,3,5,6,2
107,2011,Tyson Chandler,False,1,3,5,6,3,1,2,2,6,2,1,3,8,4,2,6,7
108,2011,J.J. Barea,False,1,6,4,5,6,3,5,5,2,7,6,5,3,5,8,5,6
109,2011,Jason Kidd,False,1,2,6,2,5,6,3,4,1,2,2,8,1,6,7,2,3
110,2011,DeShawn Stevenson,False,1,7,7,1,7,8,7,7,7,5,5,2,2,7,3,1,3
111,2011,Ian Mahinmi,False,8,8,8,6,7,4,8,8,8,8,6,1,5,8,1,6,8
112,2010,Kobe Bryant,True,1,2,1,1,1,3,2,2,1,1,3,8,8,1,6,2,3
113,2010,Pau Gasol,False,1,1,2,6,2,1,1,1,2,5,1,7,4,2,2,6,4
114,2010,Metta World Peace,False,1,3,3,2,5,3,4,5,4,2,4,6,6,3,7,1,6
115,2010,Derek Fisher,False,1,4,5,3,3,6,6,6,3,4,7,4,7,4,5,3,2
116,2010,Lamar Odom,False,1,5,4,5,6,5,3,3,4,6,4,5,5,5,1,5,7
117,2010,Andrew Bynum,False,1,6,6,6,4,2,4,4,8,7,2,2,3,6,3,6,5
118,2010,Shannon Brown,False,1,8,7,6,7,8,8,8,7,8,6,1,1,7,4,6,1
119,2010,Jordan Farmar,False,1,7,7,3,8,7,7,7,6,3,7,3,1,7,8,3,8
120,2009,Kobe Bryant,True,1,1,1,2,1,5,3,4,1,2,2,8,3,1,5,4,3
121,2009,Pau Gasol,False,1,2,2,6,2,1,1,1,2,5,1,5,4,2,2,6,4
122,2009,Lamar Odom,False,1,5,3,4,3,1,2,2,6,4,3,7,7,3,3,1,5
123,2009,Trevor Ariza,False,1,3,5,1,6,4,4,3,4,1,5,5,5,4,8,3,7
124,2009,Derek Fisher,False,1,4,4,3,4,5,5,6,3,3,6,2,5,4,4,2,1
125,2009,Andrew Bynum,False,1,6,6,6,4,1,6,5,7,6,4,2,7,6,7,6,6
126,2009,Luke Walton,False,1,7,7,6,7,5,7,7,5,8,6,1,2,7,1,6,7
127,2009,Jordan Farmar,False,1,8,8,5,8,8,8,8,8,6,6,2,1,8,6,5,1
128,2008,Paul Pierce,True,1,2,2,3,1,6,2,3,2,5,5,8,8,1,4,4,4
129,2008,Ray Allen,False,1,1,3,1,2,2,3,2,4,3,2,6,4,2,2,1,2
130,2008,Kevin Garnett,False,1,3,1,5,3,1,1,1,3,1,1,7,4,3,5,5,5
131,2008,Rajon Rondo,False,1,4,4,5,4,3,5,4,1,2,3,5,2,4,7,5,8
132,2008,James Posey,False,1,5,5,2,6,6,4,4,7,3,6,4,4,5,3,2,1
133,2008,Leon Powe,False,1,8,6,5,5,3,7,6,8,8,7,1,2,6,1,5,7
134,2008,Eddie House,False,8,7,7,4,8,8,8,8,5,7,7,1,1,7,8,3,3
135,2008,P.J. Brown,False,1,6,8,5,7,5,6,6,6,6,3,1,7,8,6,5,6
136,2007,Tony Parker,True,1,2,1,3,3,4,4,4,2,4,3,8,3,1,2,1,5
137,2007,Tim Duncan,False,1,3,2,6,2,1,1,1,1,1,1,7,7,2,4,6,4
138,2007,Manu GinÃ³bili,False,1,4,3,1,1,6,2,2,3,1,3,6,8,3,5,2,1
139,2007,Bruce Bowen,False,1,1,4,2,6,4,3,3,4,5,2,2,5,4,7,4,7
